verb,cluster,x,y,z,cluster_center_x,cluster_center_y,cluster_center_z,distance_from_center
loot,5,-24.90609383,71.52981077,-43.85420695,-21.68259717,64.7661256,-37.58445467,9.769757492
plunder,5,-24.17571029,71.29802382,-44.49984561,-21.68259717,64.7661256,-37.58445467,9.833816104
terrorize,5,-22.95361626,71.08497018,-45.15795155,-21.68259717,64.7661256,-37.58445467,9.944905296
hijack,5,-22.71111223,56.79441487,-44.05055959,-21.68259717,64.7661256,-37.58445467,10.3158387
interrogate,5,-24.49923992,68.67843349,-27.50888162,-21.68259717,64.7661256,-37.58445467,11.16945843
apprehend,5,-25.30191179,69.90841838,-27.3136007,-21.68259717,64.7661256,-37.58445467,12.04296701
prosecute,5,-26.80852899,69.29899906,-25.17166718,-21.68259717,64.7661256,-37.58445467,14.17389897
retake,5,-17.03514897,54.01722564,-45.85589765,-21.68259717,64.7661256,-37.58445467,14.33716828
punish,5,-28.77064194,68.2328505,-25.42126708,-21.68259717,64.7661256,-37.58445467,14.49833413
seize,5,-16.85606516,54.00323407,-46.58688662,-21.68259717,64.7661256,-37.58445467,14.83843073
perpetrate,5,-16.18366355,77.92272895,-41.85483094,-21.68259717,64.7661256,-37.58445467,14.8852476
reroute,5,-24.46439166,51.98674092,-45.05680606,-21.68259717,64.7661256,-37.58445467,15.06277162
conspire,5,-16.10123542,78.52001651,-41.24000694,-21.68259717,64.7661256,-37.58445467,15.28673204
investigate,5,-27.13431814,70.45093376,-24.4527024,-21.68259717,64.7661256,-37.58445467,15.31277972
oppress,5,-12.63655681,75.70651942,-43.86546119,-21.68259717,64.7661256,-37.58445467,15.52334068
repress,5,-12.51799378,75.70590824,-43.84668875,-21.68259717,64.7661256,-37.58445467,15.58474816
mistreat,5,-17.05307378,77.37647275,-45.99492681,-21.68259717,64.7661256,-37.58445467,15.84895528
ostracize,5,-17.11317962,77.33902386,-46.30401315,-21.68259717,64.7661256,-37.58445467,15.96834517
monopolize,5,-16.1428017,53.66769749,-47.89666984,-21.68259717,64.7661256,-37.58445467,16.13090891
harass,5,-21.56667359,73.37153817,-51.29636928,-21.68259717,64.7661256,-37.58445467,16.18898286
capitalize,5,-18.75910496,40.04495817,-38.87014565,-21.68259717,64.7661256,-37.58445467,24.92661083
refer,6,29.12815444,53.93081965,21.83050402,21.72290541,47.54718662,26.11344458,10.67389637
include,6,29.63121791,46.87510766,33.5891414,21.72290541,47.54718662,26.11344458,10.90317108
consist,6,24.96688114,49.50607721,36.81969016,21.72290541,47.54718662,26.11344458,11.35712662
characterize,6,30.5783149,53.75918348,21.3270926,21.72290541,47.54718662,26.11344458,11.82862408
describe,6,30.63299862,53.70694159,21.22839833,21.72290541,47.54718662,26.11344458,11.88259312
represent,6,30.34959344,42.43272814,32.582582,21.72290541,47.54718662,26.11344458,11.93428552
vary,6,23.27249977,50.27850203,37.83316781,21.72290541,47.54718662,26.11344458,12.1331463
comprise,6,31.20173669,45.80085269,33.57237073,21.72290541,47.54718662,26.11344458,12.18743221
fluctuate,6,23.04540212,50.40392451,37.987837,21.72290541,47.54718662,26.11344458,12.2845897
cite,6,29.18792487,39.15121134,32.00034236,21.72290541,47.54718662,26.11344458,12.68363047
outnumber,6,30.95768865,40.71187783,32.99724567,21.72290541,47.54718662,26.11344458,13.39363226
have,6,30.4944582,39.18326594,33.00092709,21.72290541,47.54718662,26.11344458,13.94032721
portray,6,33.21421986,54.65227523,21.40439364,21.72290541,47.54718662,26.11344458,14.30761171
inherit,6,30.29386971,38.74326517,34.30445654,21.72290541,47.54718662,26.11344458,14.76696106
accumulate,6,31.55365058,38.40172371,32.46121699,21.72290541,47.54718662,26.11344458,14.85184355
differ,6,17.79594011,51.60178156,39.98135318,21.72290541,47.54718662,26.11344458,14.97263121
depend,6,16.35707108,52.33861503,39.30156792,21.72290541,47.54718662,26.11344458,15.02253512
disagree,6,18.07658607,51.43356276,40.21679857,21.72290541,47.54718662,26.11344458,15.07660962
rely,6,15.8067159,52.57711863,39.07828741,21.72290541,47.54718662,26.11344458,15.11253334
depict,6,34.23033199,54.88009023,21.53781766,21.72290541,47.54718662,26.11344458,15.2034061
perceive,6,22.71780838,61.55998966,32.07427365,21.72290541,47.54718662,26.11344458,15.26040511
derive,6,9.212393412,40.22495351,21.31980651,21.72290541,47.54718662,26.11344458,15.26784117
regard,6,22.7968107,62.02888477,31.7666092,21.72290541,47.54718662,26.11344458,15.58303963
dictate,6,21.04676646,36.78643373,14.82022009,21.72290541,47.54718662,26.11344458,15.61370827
advocate,6,21.0524831,62.43729761,31.21627125,21.72290541,47.54718662,26.11344458,15.75448226
